sku,guide_name,use_case,method,amount_text,notes
NSWL,Nature's Soil Wetter - Liquid,lawn_garden,spray,100 mL / 100 m²,Do not shake
664,Nature's Soil Wetter granules,lawns_gardens,spread,1.5–2 kg / 100 m² every 3–6 months,
664,Nature's Soil Wetter granules,golf_greens,spread,1.5 kg / 100 m² every 1–2 months,
664,Nature's Soil Wetter granules,fairways_sports,spread,2 kg / 100 m² every 2–3 months,
664,Nature's Soil Wetter granules,crops_vegetables,spread,1.5–2 kg / 100 m²,
758,Neem Fertiliser Slow Release Granules,soil_amendment,spread,50–100 g/m²,
NSO,Neem Seed Oil - 100% Cold Pressed virgin oil,garden,foliar,30 mL per 1 L water + a few drops biodegradable detergent,
NSO,Neem Seed Oil - 100% Cold Pressed virgin oil,agriculture,spray,1 L neem oil per 200 L water,Apply 2–3 L prepared spray per hectare
29800,Quantum H,home_garden,spray,100 mL / 100 m²,
29782,Rescue Remedy,general,spray,10 g / 10 L water or 10 g / 100 m²,
1156,"Roots, Shoots & Leaves - Granular",lawn,spread,20–40 g/m²,
1156,"Roots, Shoots & Leaves - Granular",pots,incorporate,4 g per litre of potting mix,
1156,"Roots, Shoots & Leaves - Granular",plants_gardens,spread,varies with plant type and size,
SWS,Seaweed Secrets,home_garden,spray,100 mL / 100 m²,
STM,Stimulizer,home_garden_area,spray,3 mL / 100 m²,
STM,Stimulizer,watering_can,drench,2 mL per 9 L watering can,
557,VolcaMin – Premium Clinoptilolite Zeolite,lawn_garden,spread,25–100 g/m²,
557,VolcaMin – Premium Clinoptilolite Zeolite,potting_mix,incorporate,5% by volume (~50 L per m³),
557,VolcaMin – Premium Clinoptilolite Zeolite,soil_amendment,spread,1–5 tonnes/ha,
557,VolcaMin – Premium Clinoptilolite Zeolite,tree_planting,incorporate,5–10 kg per planting hole or 3–5 kg per tree for trenching,
WMP,Worm Magic Casting Pellets,lawns_gardens,spread,20–40 g/m²,
WMP,Worm Magic Casting Pellets,pots,incorporate,2 tablespoons per 5 L potting mix,Every 4–6 weeks
WMP,Worm Magic Casting Pellets,agriculture,spread,100–1000 kg/ha,Varies by crop
WMB,Worm Magic Liquid Compost Tea,garden_beds_small_lawns,drench,50–100 mL per 9 L water,
WMB,Worm Magic Liquid Compost Tea,pots,drench,10–20 mL per litre water,
WMB,Worm Magic Liquid Compost Tea,fruit_trees_shrubs,drench,100–150 mL per 9 L water,
