sku,guide_name,form,pdf_page,analysis,rate_text,min_dilution,frequency_text,cadence_days,cadence_min_days,cadence_max_days,window,max_per_year,one_off,tank_group,method,mix_together,independent,water_in,soil_drench,foliar,fertigation,hydroponic,hose_on,mix_with_iron,jar_test,application_notes,benefits,superpowers,in_catalog
513,Humate / Humic Acid Granules (45–50%),granular,4,45–50% humic acid from leonardite,2–5 kg per 100 m² depending on plant type.,,"Apply every 3 months as part of an ongoing soil improvement program. Ideal before planting, during establishment, after fertiliser application, or whenever soils have poor nutrient availability, low organic carbon or reduced microbial activity.",90,90,90,year_round,4,0,granular,spread,0,0,0,0,0,0,0,0,0,0,"Apply evenly by hand or broadcast spreader onto the top layer of soil, under mulch, or dug in. Does not need to be watered in. Suitable for lawns, vegetables, fruit trees, crops, ornamentals and all soil types. Can be applied alongside fertilisers, side dressing, seeding and planting.","A concentrated organic soil conditioner that improves soil structure, nutrient retention and microbial activity.",45–50% humic acid from leonardite | Improves CEC | Holds nutrients in the root zone | Supports beneficial microbes | Enhances soil structure | Reduces leaching and volatilisation.,1
526,Humic acid 80% (Humate) Powder - 99% Soluble,powder,4,"80% humic acid, 99% soluble potassium humate",Varies by application type.,,"Apply every 2–4 weeks during active growth, or as required when soils have poor nutrient availability, low organic carbon, salt stress or reduced biological activity.",21,14,28,growing_season,12,0,no_iron_mix,spray,0,0,0,1,1,1,0,0,0,1,"Pre-mix powder in water before application to ensure complete dissolution. Apply as a soil drench, foliar spray or through fertigation. Can be used alongside fertilisers and biological inputs, but perform a jar test before mixing.","Improves soil health by increasing nutrient availability, supporting beneficial microbes, improving water retention and enhancing fertiliser efficiency.",80% humic acid from premium leonardite | 99% solubility | Potassium humate chelator and carbon source | Helps unlock phosphorus | Binds salts and residues | Improves soil structure.,1
547,Iron Chelate Microgranules,powder,5,13% Fe as EDTA chelate (130 g/kg),Varies by application type.,,"Apply from spring through autumn, especially at the start of active growth or whenever signs of iron deficiency appear, such as yellowing leaves, pale colour or reduced plant vigour.",28,28,28,growing_season,6,0,iron,spray,0,1,0,1,1,1,0,0,0,1,"Dissolve microgranules fully in water before application. Can be applied as a foliar spray, soil drench, pressure injection or through fertigation. Unlike iron sulphate, it is compatible with most fertilisers, but a jar test is recommended before mixing. Avoid contact with concrete and porous surfaces as staining may occur.","Quickly corrects iron deficiency and chlorosis while restoring deep green colour, supporting healthy leaf development, photosynthesis and stronger plant growth.",13% Iron (Fe) as EDTA chelate | Fully water-soluble microgranules | Remains stable in the soil | Fast-acting correction of yellowing leaves.,1
846,Iron Sulphate Heptahydrate Powder,powder,5,"19.5% Fe, 11.5% S",Varies by application goal.,,"Apply when lawns show signs of iron deficiency, poor colour, alkaline soil, or moss growth. For moss prevention, apply every 6–8 weeks from late autumn through winter and early spring.",28,42,56,growing_season,4,0,iron,spread,0,1,1,0,0,0,0,0,0,0,"Apply evenly using a broadcast spreader or dilute in water and spray. Water thoroughly after application. Avoid applying on windy days and wear protective gloves and a dust mask. Can stain concrete, paths and clothing.","A slow-release iron source that promotes deep green colour, corrects iron deficiency, supports healthier turf growth and helps gently acidify alkaline soils, reducing moss growth.",19.5% Iron (Fe) | 11.5% Sulphur (S) | Slow-release ferrous sulphate store of iron in the soil.,1
LEN,Lawn Envy,hose-on,5,Concentrate 16-1-5 NPK + 1% Fe EDTA; hose-on 8-1-3 NPK + iron,2 L hose-on covers up to 200 m². 1 L concentrate: mix into the 2 L hose-on bottle or use with EZFLO.,,"Apply year-round for ongoing lawn and garden health. Ideal during nutrient stress, dull colour, dry patches, hydrophobic soils, post-mowing recovery and general maintenance.",28,28,28,year_round,12,0,iron,hose-on,0,1,1,0,0,0,0,1,0,0,"HOSE ON: connect the hose-on bottle and spray evenly. For refills, reuse the bottle with 4 L or 10 L concentrate packs. Can also be added to EZFLO. CONCENTRATE: shake well, apply during the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides.","An all-in-one lawn and garden tonic combining fertiliser, seaweed, iron chelate, soil wetter and organic stimulants.",16-1-5 NPK + 1% Iron EDTA (concentrate) | 8-1-3 NPK + iron (hose-on) | Cold-processed Ascophyllum nodosum | Activ8EXTRA | Humic & fulvic acids | Nature's Soil Wetter.,1
LIMEGr,Lime Granules 1-2mm Slow Release,granular,5,Calcium carbonate (CaCO3),Varies by soil type to raise pH by about 1 unit.,,Apply when soil tests indicate acidic soil (low pH). Best applied in autumn or early spring before planting or as part of a seasonal soil improvement program.,365,365,365,year_round,1,1,granular,spread,0,0,1,0,0,0,0,0,0,0,"Spread evenly over the soil surface and water in well. Where possible, incorporate into the topsoil. Always perform a soil test before application to determine the correct rate. Wait 6 weeks before applying iron.","Raises soil pH to reduce acidity, improving nutrient availability, fertiliser efficiency and overall soil health.",Calcium carbonate | Slow-release calcium | Neutralises soil acidity | Reduces aluminium and manganese toxicity.,1
LIR,Liquid Iron Fertiliser - 7% Iron 3% Sulphur,liquid,6,"7% Fe, 3% S + fulvic acid",150–400 mL per 100 m² depending on plant type.,1:50,"Apply every 4 weeks during the growing season, or as required to correct iron deficiency and improve colour. Trees and grapevines can be applied every 6–8 weeks.",28,28,56,growing_season,8,0,iron,spray,0,1,1,0,0,0,0,0,0,1,"Apply as a foliar spray or soil drench during the coolest part of the day. Can be mixed with Stimulizer, but should be applied separately from most other fertilisers and liquid products. Always perform a jar test before mixing.","Quickly corrects iron deficiency and chlorosis while promoting deep green colour, healthier foliage and improved chlorophyll production.",7% Iron (Fe) | 3% Sulphur (S) + fulvic acid | Fulvic acid enhances uptake and translocation | Can be mixed with Stimulizer concentrate.,1
MG,MaxGreen Hi-N & Iron liquid fertiliser,hose-on,6,"16% N, 5% Fe, 2% S + fulvic acid",2 L hose-on covers 200 m². Concentrate 140–400 mL per 100 m².,,"Apply monthly during the growing season for lawns and ornamentals, fortnightly for vegetables, and every 6–8 weeks for trees, fruit, nuts and grapevines, or as required.",28,14,56,growing_season,8,0,iron,hose-on,0,1,1,0,0,0,0,1,0,1,"HOSE ON: connect bottle and spray evenly; refill with 4 L or 10 L concentrate; EZFLO compatible. CONCENTRATE: shake well, apply in the coolest part of the day, lightly water in. Apply separately from most liquid fertilisers and pesticides. Stimulizer is compatible for tank mixing.","Delivers a rapid boost of nitrogen and iron to promote lush growth, correct iron deficiency and produce rich green colour.",16% Nitrogen | 5% Iron | 2% Sulphur + fulvic acid | Can be mixed with Stimulizer concentrate.,1
636,Micronised Gypsum Liquid,liquid,6,"16.5% Ca, 13% S",Varies by application type.,,"Apply every 2–4 weeks, or as required, to improve clay soils, correct calcium and sulphur deficiencies, and support ongoing soil conditioning. Higher rates for heavy clay soils.",21,14,28,growing_season,12,0,no_iron_mix,spray,0,0,0,1,0,1,0,0,0,1,"Shake well before use and maintain constant agitation. Can be applied through fertigation, watering cans or spray equipment. A coarse filter is recommended, and a jar test should be performed before mixing. Not suitable for drippers.",Improves soil structure by breaking up heavy clay and compacted soils while supplying readily available calcium and sulphur.,16.5% Calcium | 13% Sulphur | Ultra-fine micronised gypsum | Displaces excess sodium and magnesium | Improves aeration and fertiliser efficiency.,1
NSWL,Nature's Soil Wetter - Liquid,liquid,6,"Plant-derived wetter + humates, fulvates, botanical extracts, 70+ traces",100 mL per 100 m²,,"Apply every 2–4 weeks, or as required, when soils become dry, water repellent or compacted. Ideal during dry periods or whenever water struggles to penetrate the soil profile.",21,14,28,growing_season,12,0,no_iron_mix,spray,1,0,1,1,1,1,0,0,0,1,"Mix gently before use, do not shake. Water in lightly after application to activate the product. Compatible with most fertilisers, although a jar test is recommended before mixing with acidic or sulphate-based products.","Breaks down water-repellent soils, improves water penetration and moisture retention, and enhances fertiliser efficiency.","Plant-derived soil wetting agent | Complex organic compounds, natural humates, fulvates and botanical extracts | Improves soil structure | Stabilises nitrogen | Binds salts and toxins | Buffers soil pH | 70+ naturally occurring trace minerals.",1
664,Nature's Soil Wetter granules,granular,7,Plant-derived surfactants + zeolite + botanical extracts + 70+ traces,Varies by surface type.,,"Apply when soils become water repellent, dry, compacted or struggle to absorb moisture. Ideal as part of regular soil maintenance, during dry periods, or when improving soil structure.",120,30,180,growing_season,3,0,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly as a top-dress using a spreader or incorporate into potting mixes and garden beds. Watering after application is recommended to activate the granules, although not essential. Apply under tree drip lines or beneath mulch for fruit trees and natives.","Improves water penetration, moisture retention and soil structure while reducing hydrophobic conditions.",Plant-derived surfactants | Zeolite mineral matrix | Botanical extracts | 70+ naturally occurring trace minerals | Improves water distribution | Increases nutrient retention | Supports microbes | Buffers pH | Helps stabilise nitrogen.,1
758,Neem Fertiliser Slow Release Granules,granular,7,1-1-4 NPK + VolcaMin + neem oil + soil wetter,50–100 g per m²,,"Apply 1–2 times per year for ongoing soil improvement and long-term fertility. Ideal during turf renovation, lawn recovery, before planting, or when soils need improved nutrient retention.",180,180,180,year_round,2,0,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly over the soil surface and, where possible, incorporate into the top 10 cm of soil. Can be applied before sowing, laying turf, or swept into aeration holes. Water in lightly after application to activate the neem and soil wetter components.","A natural slow-release fertiliser and soil conditioner that provides steady nutrition while improving soil structure, water retention and nutrient availability. Feeds plants for up to 3 months.","1-1-4 NPK | VolcaMin zeolite | Neem oil | Natural soil wetter | Feeds up to 3 months | Improves CEC, water holding and plant resilience.",1
NSO,Neem Seed Oil - 100% Cold Pressed virgin oil,oil,7,100% cold-pressed Azadirachta indica oil,Varies by application type.,,"Apply during active plant growth, as part of a preventative plant care routine, or when plants are under pest pressure or environmental stress. Repeat 7 days after the initial application, then apply as required.",7,7,7,growing_season,12,0,independent,spray,0,0,0,0,1,0,0,0,0,0,"Dilute before use and spray directly onto leaves (top and underside), stems and soil surface. Add a biodegradable detergent to help emulsify the oil with water. Avoid applying during extreme heat or strong sunlight. Not currently in the Product Guide / Calendar catalog — SKU NSO is a placeholder.","A natural plant protection and support solution that helps deter pests, support plant resilience and maintain healthier foliage.","100% cold-pressed neem seed oil | Azadirachtin, nimbin, vitamin E, fatty acids | Biodegradable alternative for integrated plant care.",0
29800,Quantum H,liquid,7,Premium liquid potassium humate from leonardite,100 mL per 100 m². Agricultural rates vary.,,"Apply fortnightly or as required for home gardens. For agricultural applications, apply throughout the growing season or as part of a regular soil health program.",14,14,14,year_round,20,0,no_iron_mix,spray,1,0,1,1,1,1,1,0,0,0,"Can be applied as a soil drench, foliar-compatible input, fertigation, sprinkler/drip irrigation or mixed with liquid nutrients. Compatible with most fertilisers, pesticides, fungicides and biological inputs. Avoid mixing directly with iron-based products.","A premium humic acid soil conditioner that improves soil structure, increases nutrient availability and supports beneficial microbial activity.","Premium liquid potassium humate | Leonardite | Short-chain humic and fulvic acids | Improves CEC | Enhances fertiliser efficiency | Supports microbes | Binds salts, pesticides and heavy metals.",1
29782,Rescue Remedy,powder,8,100% Ascophyllum nodosum; 16–21% K,10 g per 10 L water or 10 g per 100 m² for general use. Agricultural rates vary.,,"Apply fortnightly or as required throughout the growing season. Ideal during drought, heat, frost, transplanting or waterlogging. Apply prior to flowering to support fruit and flower development.",14,14,14,growing_season,16,0,mixable,spray,0,1,1,1,0,1,0,0,0,0,"Dissolve completely in water before application. Suitable for foliar spraying, soil drenching, irrigation and fertigation. May not be compatible with acidic fertilisers such as calcium nitrate, liquid phosphates and sulphate-based trace elements.","A premium seaweed bio-stimulant that supports stronger roots, improved nutrient uptake and healthier plant growth. Helps plants recover from stress, improves flowering and fruit set, and boosts beneficial soil microbes.",100% Ascophyllum nodosum | Cytokinins and gibberellins | Amino acids | Alginic acids | Mannitol | Trace elements | Complex carbohydrates | 16–21% K.,1
1156,"Roots, Shoots & Leaves - Granular",granular,8,"16-2-10 NPK + silica, S, Ca, Mg, traces, zeolite, wetter",Varies by application type.,,"Every 3 months, year-round.",84,60,90,growing_season,4,0,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly around the plant root zone or across turf areas and water in after application. Suitable for lawns, vegetables, fruit trees, ornamentals, shrubs, natives and potted plants. Can be used with liquid fertilisers and soil conditioners.","A controlled-release mineral fertiliser designed to provide long-lasting nutrition for greener lawns, healthier gardens and stronger plant growth.",16-2-10 NPK | Silica | Sulphur | Calcium | Magnesium | Essential traces | Zeolite | Natural wetting agents | Slow-release technology.,1
SWS,Seaweed Secrets,liquid,8,Cold-processed Ascophyllum nodosum + humic + fulvic,100 mL per 100 m². Agricultural rates vary.,,"Apply fortnightly or as required throughout the growing season. Ideal during heat, drought, frost, transplanting or recovery. Can be used year-round to support ongoing plant and soil health.",14,14,14,year_round,24,0,mixable,spray,1,0,1,1,1,1,1,0,0,0,"Apply as a soil drench, foliar spray, fertigation or through sprinkler/drip irrigation. Can be mixed with most fertilisers and soil conditioners. When applying to foliage, check for staining on sensitive plants first.","A premium liquid seaweed soil conditioner that improves soil health, strengthens roots and supports healthier plant growth.",Cold-processed Ascophyllum nodosum | Humic and fulvic acids | Naturally occurring minerals | Amino acids | Plant growth compounds | Alginic acids | Chelating agents | Supports microbes | Improves CEC.,1
STM,Stimulizer,liquid,8,"Ultra-concentrated fulvic complex, 1500+ chelation capacity","3 mL per 100 m². 2 mL per 9 L watering can for home gardens. Turf, hydroponic and broadacre rates vary.",,"Apply fortnightly or as required. Can be used year-round to support root development, nutrient uptake, stress recovery and overall plant health.",14,14,14,year_round,24,0,mixable,spray,1,0,1,1,1,1,1,0,1,0,"Apply as a soil drench, foliar spray, hydroponic additive or mixed with fertilisers and other liquid inputs. Compatible with acidic and alkaline materials. Does not burn plants, lawns or soil if over-applied, but best results are at recommended rates. The only product the guide says can be safely mixed with iron.","A powerful fulvic acid-based bio-stimulant that improves nutrient uptake, stimulates root growth and enhances soil biology.",Ultra-concentrated fulvic acid complex | 1500+ chelation capacity | 75+ minerals and humic extracts | Stimulates microbes | Improves CEC | Supports photosynthesis | Enhances fertiliser efficiency.,1
557,VolcaMin – Premium Clinoptilolite Zeolite,granular,9,100% natural clinoptilolite zeolite,Varies by application type.,,"Apply during soil preparation, planting, turf installation or as an annual soil amendment. Benefits are long-lasting as VolcaMin does not break down over time.",365,365,365,year_round,1,1,granular,spread,0,0,0,0,0,0,0,0,0,0,"Incorporate into soil, potting mixes, compost blends or apply around root zones. Can be blended with fertilisers. <1 mm powder: seed coatings, compost, fertigation, liquid suspension. 1–2 mm: potting mixes, gardens, seed raising. 2–4 mm: turf, landscaping, tree planting, drainage.","A permanent soil conditioner that improves nutrient retention, water efficiency and soil structure. Acts like a natural fertiliser battery.","100% clinoptilolite zeolite | High CEC | Stores ammonium, potassium, calcium and magnesium | Improves moisture retention and aeration | Does not break down.",1
WMP,Worm Magic Casting Pellets,pellets,9,"~5.05-2-2.11 NPK, 34% carbon, humic, fulvic, microbes",Varies by application type.,,"Apply during soil preparation, planting or as part of an ongoing soil health program. For pots, apply every 4–6 weeks to maintain soil condition and plant performance.",90,28,90,year_round,4,0,granular,spread,0,0,1,0,0,0,0,0,0,0,"Apply evenly around plants, garden beds or lawn areas and water in after application to activate. Can be incorporated into soil, applied as a top dress or placed directly into planting holes for trees and vines.",A biologically active organic fertiliser that improves soil health while providing slow-release nutrition.,Worm casting pellets | 5.05% N | 2% P | 2.11% K | 34% carbon | Humic acids | Fulvic acids | Beneficial microorganisms | Supports the soil food web.,1
WMB,Worm Magic Liquid Compost Tea,liquid,9,Living compost tea + humic & fulvic acids,Varies by application type.,,"Apply every 2–4 weeks throughout the growing season. Increase frequency during periods of stress, transplanting or active growth.",21,14,28,growing_season,12,0,no_iron_mix,spray,1,0,1,1,1,1,0,0,0,0,"Apply as a soil drench, foliar spray, fertigation or irrigation. For best results on lawns, apply after mowing and water into the soil. Contains humic and fulvic acids — do not tank-mix with iron.","A biologically active liquid soil tonic made from worm castings that improves soil health, strengthens roots and supports healthier, more resilient plants.","Living compost tea (bacteria, fungi, protozoa) | Humic & fulvic acids | Naturally occurring N, P, K, Ca, Mg | Stimulates microbes | Improves nutrient cycling.",1
