,,,,,,,PROBLEMS (0-5),,,,,,,,USE CASE (0-1),,,,,SOIL TAGS (1-3),,,,,,Seasonal Relevance (0-3),,,,Application Method (0-1),,,,,Compatibility (0-1),,,,,,,,,,,,GOALS - LAWNS,,,,,GOALS - GARDENS,,,,,GOALS - FARMS,,,,
"Roots, Shoots & Leaves Granular Fertiliser (16-2-10 NPK + T/E)",1156,"<div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;""><img alt=""Roots, Shoots and Leaves Granular Fertiliser"" src=""https://www.plantdoctor.com.au/assets/alt_3/1156.png?20260402145816"" style=""width: 100%; height: auto; border-radius: 8px;"" />
<div style=""font-size: 18px; font-weight: bold; margin-top: 10px;""><a href=""https://www.plantdoctor.com.au/roots-shoots-leaves-granular-fertiliser-16-2-10-np"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Roots, Shoots and Leaves Granular Fertiliser </a></div>

<div style=""font-size: 14px; color: #555;"">A mineral based granular fertiliser custom made to suit Australian conditions.</div>
</div>",Controlled-release granular fertiliser (mineral + trace elements),Balanced growth (leaf + root + general plant vigour),Base fertiliser (all-purpose foundation feed),9,4,5,3,3,2,4,3,4,0,1,1,1,1,3,3,2,2,5,2,3,3,3,2,0,0,1,0,0,1,1,0,1,1,2,"Balanced slow-release fertiliser that promotes strong green growth, healthy roots, and overall plant resilience across lawns and gardens","Many plants struggle due to general nutrient deficiency rather than a single issue, leading to weak growth, pale colour, and poor recovery after stress","Delivers a complete NPK profile (16-2-10) with trace elements, silica, sulphur, and zeolite to support chlorophyll production, root development, and long-term soil nutrient efficiency while reducing leaching and improving microbial activity",,,,5,5,4,4,4,2,4,5,4,5,5,5,4,5,5
Activ8Mate Liquid Fertiliser & Inoculant (8-1-4 NPK + T/E),A8M,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/A8M10L.jpg?20240315115025"" alt=""Activ8mate Liquid Fertiliser"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/activ8mate-liquid-fertiliser-inoculant-for-use-on"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Activ8mate – Liquid Fertiliser & Inoculant
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Stabilises nutrients in the soil for long-term availability and balanced plant growth.
    </p>
  </div>",Liquid fertiliser + soil inoculant (biostimulant blend),General plant growth; soil biology activation; recovery support,All-purpose base;  biological enhancer (hybrid system product),10,4,5,2,5,3,4,3,5,1,1,1,1,1,5,4,2,3,5,5,3,3,3,3,1,1,0,1,1,1,1,1,1,1,2,"All-in-one liquid fertiliser that feeds plants while rebuilding soil biology for stronger growth, improved resilience, and better nutrient uptake","Most plant issues stem from poor soil biology and nutrient inefficiency, not just lack of fertiliser. This leads to weak growth, poor colour, and reduced recovery after stress","Combines balanced NPK nutrition with fish hydrolysate, seaweed extracts, humic and fulvic acids, and organic nutrients to stimulate microbial activity, improve soil structure, enhance nutrient availability, and support long-term plant and lawn health",,,,3,3,4,3,4,4,5,5,4,5,4,5,4,4,5
Fulvic Acid Liquid Bio-Stimulant,414,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;""><img alt=""Fulvic Acid"" src=""https://www.plantdoctor.com.au/assets/full/414_415.jpg?20211129090207"" style=""max-width: 60%; height: auto;"" />
<div style=""font-size: 18px; font-weight: bold; margin-top: 10px;""><a href=""https://www.plantdoctor.com.au/fulvic-acid-liquid-a-powerful-bio-stimulant"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Fulvic Acid Liquid</a></div>

<div style=""font-size: 14px; color: #555;"">A cost-effective, premium fulvic acid formula trusted by hydroponic and professional growers across Victoria, Queensland, and NSW.</div>
</div>",Soil conditioner; nutrient chelator;  biostimulant,Nutrient uptake enhancement; soil detox; root stimulation,Soil biology amplifier (support product / force multiplier),9,2,4,4,4,4,3,2,5,0,1,1,1,1,5,4,2,5,5,4,3,3,3,3,1,1,0,1,1,1,1,1,1,0,1,"Powerful bio-stimulant that unlocks nutrients in the soil, improves uptake efficiency, and strengthens root and microbial activity","Many plant problems are not caused by lack of fertiliser, but by nutrients being locked in the soil or unavailable to roots, leading to poor growth and weak recovery","Fulvic acid acts as a natural chelating agent, breaking down and mobilising nutrients so plants can absorb them more efficiently. It also improves root development, stimulates soil biology, enhances water efficiency, and helps detoxify soils by binding unwanted residues",,,,2,2,2,2,3,2,3,3,2,2,3,4,3,2,3
Gypsum Granules (1–2mm Mini Prill),1075,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/1075_1078.jpg?20200826114424"" alt=""Gypsum Granules 1-2mm Mini Prill"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/gypsum-granules-1-2mm-mini-prill"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Gypsum Granules 1–2mm Mini Prill
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Slow-release calcium sulphate designed to break up clay soils, reduce compaction, and improve soil structure for healthier root growth.
    </p>
</div>",Soil conditioner (calcium sulphate mineral amendment),Soil structure improvement; calcium/sulphur replenishment,Soil correction (structure + compaction relief),8,1,3,5,3,4,2,2,5,1,1,0,0,1,2,5,2,2,3,1,3,2,3,2,0,0,1,0,0,1,1,1,1,0,1,"Soil conditioner that breaks up compacted clay, improves drainage, and restores calcium levels for stronger root development","Many lawns and gardens fail not because of lack of fertiliser, but because compacted or sodic soils prevent water, air, and nutrients from reaching the root zone","Delivers calcium and sulphur in a slow-release mineral form that improves soil aggregation, displaces sodium in problematic soils, and enhances pore space for better water infiltration, root penetration, and fertiliser efficiency over time",,,,2,3,3,2,4,2,5,5,3,4,3,5,4,4,5
"Humate / Humic Acid Granules (45–50% Humic, 2–4mm)",513,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/513_516.jpg?20200825134409"" alt=""Humate Humic Acid Granules 45-50%"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/humate-humic-acid-45-50-granules-2-4mm-cert.-organ"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Humate / Humic Acid Granules (45–50%)
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Certified organic soil conditioner that improves nutrient availability, supports root growth, and enhances soil structure while boosting fertiliser efficiency.
    </p>
</div>",Soil conditioner (humic substance / organic carbon amendment),Soil detox; nutrient unlock; microbial stimulation,Soil biology amplifier (foundation conditioner),9,3,4,4,5,5,3,3,5,0,1,1,1,1,5,5,2,4,5,4,3,3,3,3,0,0,1,0,0,1,0,1,1,0,1,"Soil conditioning granule that unlocks nutrients, improves soil structure, and enhances fertiliser efficiency over time","Many soils contain nutrients that are present but unavailable to plants due to binding, poor microbial activity, or poor soil structure, leading to weak growth even when fertiliser is applied","Humic substances act as natural chelators and carbon-rich soil conditioners that bind nutrients, reduce leaching, stimulate microbial life, improve soil aggregation, and increase water retention, creating a more efficient and biologically active root zone where plants can access more of what is already in the soil",,,,2,2,3,3,5,2,5,5,4,5,4,5,4,4,5
Lime Granules (1–2mm Slow Release Calcium Carbonate),LIMEGr,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/LIME_20.png?20260217144228"" alt=""Lime Granules 1-2mm Slow Release"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/lime-granules-1-2mm-slow-release"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Lime Granules 1–2mm Slow Release
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Slow-release calcium carbonate designed to raise soil pH, reduce acidity, and improve nutrient availability for stronger, healthier plant growth.
    </p>
</div>",Soil amendment (agricultural lime / pH correction),Soil pH correction; calcium supplementation; nutrient availability unlock,Soil chemistry corrector (pH regulator / foundational amendment),8,3,4,3,2,5,2,2,4,1,1,0,0,1,3,2,5,0,3,2,3,2,3,2,0,0,1,0,0,1,1,1,1,1,1,"Soil pH correction granule that reduces acidity and improves nutrient availability for stronger, healthier plant growth","Many lawns and gardens suffer not from lack of fertiliser, but from acidic soils that lock nutrients away, causing yellowing, weak growth, and poor response to feeding","Calcium carbonate neutralises excess soil acidity, raising pH toward the optimal range where nutrients like nitrogen, phosphorus, and potassium become more available. It also adds calcium and improves microbial activity, creating a healthier soil environment that supports stronger root development and more efficient fertiliser use over time","Do NOT apply at same time as iron products (can reduce availability)
Best applied separately before nutrient programs begin",,,1,2,1,2,3,2,5,3,2,4,2,5,3,4,5
Nature’s Soil Wetter Granular (Plant-Derived Wetting Agent),664,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/alt_2/664.jpg?20200710030217"" alt=""Nature's Soil Wetter Granular Wetting Agent"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/Plant-Doctor-Natures-Soil-Wetter-Natural-GRANULAR-wetting-agent"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Nature’s Soil Wetter – Granular Wetting Agent
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Natural granular soil wetter designed to fix hydrophobic soils, improve water penetration, and boost nutrient efficiency for healthier roots and stronger plant growth.
    </p>
</div>",Soil wetter;  soil conditioner (surfactant-based soil hydrology system),Water penetration; hydrophobic soil correction; nutrient efficiency improvement,Soil function enhancer (water management + system unlock product),9,2,4,4,5,2,2,2,4,1,1,1,1,1,5,4,2,3,5,5,3,3,3,2,0,0,1,0,0,1,1,1,1,0,1,"Soil wetting granule that fixes water-repellent soils, improves moisture distribution, and increases fertiliser efficiency","Many lawns and gardens fail not because of lack of fertiliser, but because water cannot properly penetrate soil, leading to dry patches, uneven growth, and wasted nutrients","Plant-derived surfactants reduce water’s surface tension, allowing moisture to penetrate hydrophobic soils and spread evenly through the root zone. This improves hydration, nutrient movement, microbial activity, and overall soil function, making all other inputs (fertilisers, soil conditioners, and biostimulants) significantly more effective",,,,2,3,4,3,5,3,5,4,3,4,3,5,5,4,5
Nature’s Soil Wetter Liquid (Super Concentrated Plant-Based Wetting Agent),NSWL,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/NSW01L.jpg?20240315121825"" alt=""Nature’s Soil Wetter"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/natures-soil-wetter-liquid-super-concentrated-plan"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Nature’s Soil Wetter – Super Concentrated
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Improves water penetration and reduces dry patch for better moisture retention.
    </p>
  </div>",Liquid soil wetter; surfactant; soil hydrology enhancer,Water penetration; hydrophobic soil correction; nutrient delivery efficiency,Soil function unlocker (liquid fast-acting hydration system),9,2,4,4,5,2,2,2,4,1,1,1,1,1,5,4,2,3,5,5,3,3,3,2,1,1,0,1,1,1,1,1,1,0,1,"Super-concentrated liquid soil wetter that restores water penetration, fixes dry patches, and improves fertiliser uptake efficiency","Many lawns and gardens suffer from hydrophobic soils where water runs off or only partially penetrates, leading to dry patches, uneven growth, and wasted fertiliser applications","Plant-based surfactants reduce water’s surface tension, allowing moisture to rapidly infiltrate soil profiles and distribute evenly through the root zone. This improves hydration consistency, enhances nutrient movement, reduces runoff, and increases the effectiveness of all soil-applied inputs including fertilisers and biostimulants",,,,2,3,4,3,5,3,5,4,3,4,3,5,5,4,5
Humic Acid 80% Powder (99% Soluble),526,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/526_528.jpg?20200825132422"" alt=""Humic Acid 80% Humate Powder 99% Soluble"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/plant-doctor-humic-acid-80-humate-powder-99-solubl"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Humic Acid 80% (Humate) Powder – 99% Soluble
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Highly concentrated, water-soluble humate that improves nutrient availability, detoxifies soil, and boosts microbial activity for stronger roots and better fertiliser efficiency.
    </p>
</div>",High-concentration soil conditioner (humic substance biostimulant),Soil detox; nutrient chelation; fertiliser efficiency amplifier; microbial activation,Soil biology; chemistry backbone (high-performance enhancer layer),10,2,5,4,5,4,2,3,5,0,1,1,1,1,5,5,2,5,5,4,3,3,3,3,1,0,0,1,1,1,0,1,1,0,1,"Highly concentrated humic acid powder that unlocks nutrients, detoxifies soil, and dramatically improves fertiliser efficiency and soil biology","Many soils contain sufficient nutrients, but plants cannot access them due to binding, poor microbial activity, salinity issues, or degraded soil structure, resulting in poor growth despite fertiliser use","Humic acids act as powerful natural chelators that bind nutrients and convert them into plant-available forms, while also improving microbial activity, reducing salt stress, detoxifying residues, and enhancing soil structure and water retention. The 80% soluble form provides rapid system-wide activation, making fertilisers more effective and improving overall plant resilience and root development",,,,2,2,2,2,2,2,3,3,4,5,4,5,4,4,5
Quantum H Premium Humic Acid Solution (Liquid Soil Conditioner),29800,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/29800_1.jpg?20220117083141"" alt=""Quantum H"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/quantum-h-premium-humic-acid-solution"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Quantum H – Premium Humic Acid Solution
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Improves soil structure and nutrient cycling while detoxifying residues.
    </p>
  </div>",Liquid humic acid; fulvic acid soil conditioner,Soil regeneration; nutrient unlocking; detoxification; fertiliser efficiency enhancement,Soil system reset; biological efficiency amplifier (high-performance liquid humate),10,4,5,4,5,5,4,3,5,1,1,1,1,1,5,5,2,5,5,4,3,3,3,3,1,1,0,1,1,1,0,1,1,0,1,"High-performance liquid humic acid solution that unlocks nutrients, detoxifies soil, and dramatically improves fertiliser efficiency and root development","Many soils contain nutrients that plants cannot access due to binding, salinity stress, poor microbial activity, or degraded soil structure, leading to poor growth even when fertiliser is applied","Quantum H uses short-chain humic and fulvic acids derived from leonardite to improve cation exchange capacity, chelate nutrients, stimulate microbial activity, and detoxify soil contaminants. This converts unavailable nutrients into plant-usable forms while improving soil structure, moisture retention, and root development, resulting in a more efficient and biologically active soil system where fertilisers perform significantly better",,,,2,2,4,3,5,2,5,5,4,5,4,5,5,4,5
Rescue Remedy Soluble Seaweed (Ascophyllum nodosum) Powder / Flakes,29782,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/29782_1.jpg?20201117143223"" alt=""Rescue Remedy Soluble Seaweed Kelp Powder Flakes"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/rescue-remedy-soluble-seaweed-kelp-powder-flakes-a"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Rescue Remedy – Soluble Seaweed (Kelp) Powder / Flakes
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Highly concentrated, fully soluble seaweed biostimulant that boosts root growth, improves stress tolerance, and enhances flowering, fruiting, and overall plant health.
    </p>
</div>",Seaweed biostimulant (organic soluble kelp extract),Stress recovery; root stimulation; plant resilience; biological activation,Biostimulant (emergency support + ongoing resilience enhancer),10,4,5,3,3,3,3,3,5,1,1,1,1,1,4,4,2,2,4,3,3,3,3,3,1,1,0,1,1,0,1,1,1,0,1,"Powerful seaweed biostimulant that helps plants recover from stress, stimulates root growth, and improves overall resilience and nutrient uptake","Plants often struggle not because of missing fertiliser, but due to stress, weak roots, transplant shock, or environmental pressure that limits their ability to absorb and use nutrients effectively","Derived from Ascophyllum nodosum kelp, this soluble seaweed provides natural plant hormones (auxins, cytokinins, gibberellins), trace minerals, amino acids, and complex carbohydrates that stimulate root development, enhance microbial activity, improve stress tolerance, and increase nutrient efficiency. This creates stronger, more resilient plants capable of recovering faster and performing better under environmental stress",,,,3,4,5,3,5,4,5,5,5,5,4,5,5,4,5
Seaweed Secrets Concentrated Liquid Seaweed (Ascophyllum nodosum + Humic + Fulvic),SWS,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/alt_2/SWS.jpg?20240315121114"" alt=""Seaweed Secrets"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/seaweed-secrets-concentrated-liquid-seaweed-kelp-s"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Seaweed Secrets – Concentrated Liquid Kelp
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Reduces stress while improving nutrient uptake and supporting soil biology.
    </p>
  </div>",Liquid biostimulant (seaweed + humic + fulvic soil conditioner blend),Stress recovery; root stimulation; soil biology activation; nutrient uptake enhancement,Core biostimulant (universal plant health + recovery + system enhancer),10,4,5,3,4,4,3,3,5,1,1,1,1,1,5,4,2,3,5,4,3,3,3,3,1,1,0,1,1,0,1,1,1,0,1,"Triple-action seaweed biostimulant that improves root growth, reduces stress, and enhances nutrient uptake and soil biology","Plants often struggle not because of lack of fertiliser, but due to stress, poor soil biology, and inefficient nutrient uptake that limits growth and recovery","Combines Ascophyllum nodosum kelp (plant hormones for growth and stress resistance), humic acids (soil conditioning and nutrient retention), and fulvic acids (rapid nutrient transport) into a single system that improves root development, microbial activity, water efficiency, and fertiliser performance across all soil types and plant systems",,,,3,4,5,3,5,4,5,5,5,5,4,5,5,4,5
Stimulizer Super Concentrate Bio-Stimulant (Fulvic + Humic + Mineral Chelator Blend),STM,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/STM04L.jpg?20240315124636"" alt=""Stimulizer Bio-Stimulant"" style=""width: 60%; border-radius: 8px;"" />
    <a href=""https://www.plantdoctor.com.au/stimulizer-super-concentrate-bio-stimulant-natural"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Stimulizer – Super Concentrate Bio-Stimulant
    </a>
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Enhances nutrient uptake, microbial activity and overall plant performance.
    </p>
  </div>",Ultra-concentrated biostimulant (fulvic acid + humic extracts + trace minerals),Nutrient uptake acceleration; root stimulation; microbial activation; soil detoxification,Bio-activation amplifier (high-efficiency “performance catalyst” layer),10,4,5,3,4,5,3,3,5,1,1,1,1,1,5,4,2,5,5,4,3,3,3,3,1,1,0,1,1,1,1,1,1,0,1,"Ultra-concentrated bio-stimulant that accelerates nutrient uptake, boosts root growth, and improves fertiliser efficiency across all plant systems","Many plants appear unresponsive to fertiliser due to locked nutrients, poor root function, or low microbial activity in the soil, resulting in slow growth and weak recovery","Stimulizer contains a highly bioavailable fulvic acid complex combined with humic extracts and trace minerals that act as natural chelators. This improves nutrient mobility, enhances root development, increases microbial activity, and accelerates plant metabolic processes, allowing fertilisers and soil inputs to work faster and more efficiently across all soil and environmental conditions",,,,2,2,5,3,5,2,5,5,5,5,5,5,5,4,5
VolcaMin Clinoptilolite Zeolite (Mineral Conditioner),557," <div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""VolcaMin Nutrient Efficiency System"" src=""https://www.plantdoctor.com.au/assets/full/557.jpg?20200710030239"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/volcamin-clinoptilolite-zeolite"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">VolcaMin – Nutrient Efficiency System</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">Improves nutrient retention and soil structure for better plant growth.</div>
  </div>",Permanent soil mineral amendment (zeolite / cation exchange enhancer),Nutrient retention; water holding; fertiliser efficiency; soil buffering,Soil “nutrient battery”;  long-term efficiency infrastructure layer,10,3,4,4,4,5,4,2,5,1,1,1,1,1,5,4,3,4,4,3,3,3,3,3,0,0,1,0,0,1,1,1,1,0,1,"Permanent soil mineral that locks in nutrients, improves water retention, and dramatically increases fertiliser efficiency over time","Many soils lose fertiliser too quickly through leaching or poor retention, meaning plants never fully access the nutrients applied, resulting in wasted inputs and inconsistent growth","Clinoptilolite zeolite has a highly porous crystalline structure with strong cation exchange capacity, allowing it to attract and hold positively charged nutrients like ammonium, potassium, calcium, and magnesium in the root zone. These nutrients are then slowly released in response to plant demand, improving fertiliser efficiency, reducing nutrient loss, enhancing soil structure, and creating a long-term reservoir of plant-available nutrition",,,,1,2,3,2,5,3,5,5,3,4,4,5,4,4,5
Dolomite Granules 1–2mm Mini Prill (Calcium Magnesium Carbonate Soil Conditioner),DOL,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/DOL20.png?20260217144119"" alt=""Dolomite Granules 1-2mm Mini Prill"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/dolomite-granules-1-2mm-mini-prill-granular-slow-r"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Dolomite Granules 1–2mm Mini Prill
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Slow-release soil conditioner that raises pH, supplies calcium and magnesium, and improves soil structure for stronger roots and healthier plant growth.
    </p>
</div>",Soil amendment (pH buffer + calcium + magnesium mineral conditioner),Soil pH balancing; calcium & magnesium supply; nutrient availability improvement,Soil chemistry stabiliser (pH + mineral balance foundation layer),9,3,4,3,2,5,3,2,4,1,1,0,0,1,4,2,5,0,3,2,3,2,3,2,0,0,1,0,0,1,1,1,1,1,1,Soil conditioner that corrects acidity while supplying calcium and magnesium to improve nutrient uptake and plant health,"Many lawns and gardens suffer from hidden magnesium and calcium deficiencies alongside acidic soils, leading to yellowing leaves, weak growth, and poor response to fertilisers","Dolomite (calcium magnesium carbonate) neutralises soil acidity while supplying two essential secondary nutrients: calcium, which supports root structure and soil aggregation, and magnesium, which is critical for chlorophyll production and photosynthesis. This dual-action correction improves soil pH balance, enhances nutrient availability, and restores plant metabolic efficiency over time",,,,2,3,2,4,4,3,5,4,3,4,3,5,3,4,5
Iron Sulphate (Ferrous Sulphate Heptahydrate) Soluble Slow Release Powder,846,"<div style=""border-radius: 8px; border: 1px solid #ccc; padding: 20px; flex: 1 1 230px; box-sizing: border-box;"">
    <img src=""https://www.plantdoctor.com.au/assets/full/846_848.png?20260311153401"" alt=""Iron Sulphate Soluble Slow Release Powder"" style=""width: 60%; border-radius: 8px;"" />
    
    <a href=""https://www.plantdoctor.com.au/iron-sulphate-soluble-slow-release-powder"" target=""_blank""
       style=""display: block; font-size: 18px; font-weight: bold; margin-top: 10px; text-decoration: none; color: #007bff;"">
      Iron (Ferrous) Sulphate – Soluble Slow Release Powder
    </a>
    
    <p style=""font-size: 14px; color: #555; margin-top: 8px;"">
      Slow-release iron source that delivers deep green colour, helps control moss, and improves nutrient availability while gradually lowering soil pH for healthier plant growth.
    </p>
</div>",Micronutrient fertiliser; soil conditioner (iron + sulphur amendment),Iron correction; deep greening; chlorophyll synthesis support; mild soil acidification,Micronutrient correction layer (fast visible response + soil chemistry modifier),10,5,3,2,1,3,3,2,3,1,1,0,1,1,4,3,2,5,3,1,3,3,3,2,1,0,1,1,1,1,1,1,0,1,2,"Fast-acting iron source that corrects yellowing leaves, boosts chlorophyll production, and restores deep green colour in lawns and plants","Plants growing in alkaline or nutrient-imbalanced soils often cannot access iron, even when it is present in the soil, leading to yellowing leaves, weak photosynthesis, and poor overall plant performance","Iron sulphate supplies bioavailable ferrous iron (Fe²⁺), which is essential for chlorophyll synthesis and photosynthesis. It also provides sulphur, which supports enzyme function and protein formation, while gently lowering soil pH to improve nutrient availability. This combination restores green colour, improves plant energy production, and enhances overall growth response, especially in alkaline soils where iron is locked out",,,,5,3,3,2,2,2,3,2,3,3,3,3,1,3,2
Kendon Iron Chelate (130g/kg Fe as EDTA complex),547,"<div style=""border: 1px solid #ccc; padding: 20px; width: 200px; max-width: 100%; margin-bottom: 20px; box-sizing: border-box;"">
    <img alt=""Iron Chelate"" src=""https://www.plantdoctor.com.au/assets/full/Iche_4.5.png?20260311152258"" style=""width: 100%; height: auto; border-radius: 8px;"" />
    <div style=""font-size: 18px; font-weight: bold; margin-top: 10px;"">
      <a href=""https://www.plantdoctor.com.au/kendon-iron-chelate"" style=""text-decoration: none; color: #007bff; font-weight: bold;"" target=""_blank"">Iron Chelate – Fertiliser</a>
    </div>
    <div style=""font-size: 14px; color: #555;"">Corrects iron deficiencies in plants and lawns for healthier growth.</div>
  </div>",Micronutrient fertiliser (chelated iron source),Iron deficiency correction; chlorophyll synthesis; rapid greening response,Micronutrient correction layer (fast visual response + precision nutrient injector),10,5,3,2,1,3,3,1,3,1,1,1,1,1,4,3,2,5,3,1,3,3,3,2,1,0,1,1,1,1,1,1,0,1,2,"Fast-acting chelated iron that corrects yellowing leaves, restores chlorophyll production, and delivers deep green colour in lawns and plants","Plants growing in alkaline or nutrient-imbalanced soils often suffer from iron lockout, where iron is present in the soil but unavailable for uptake, leading to yellowing leaves and reduced photosynthesis","EDTA chelation binds iron in a stable form that remains available for plant uptake across a wider pH range than iron sulphate. This allows iron to be efficiently absorbed through leaves or roots, restoring chlorophyll production, improving photosynthesis, and rapidly correcting visible yellowing symptoms. It is especially effective in alkaline soils where iron would otherwise be immobilised",,,,5,3,3,2,2,2,2,2,2,3,3,3,1,3,2
